"geneId","geneIdNCBI","simplifiedId","simplifiedResistance","geneLength"
1,"WP_116786839.1",15,"subclass B1 metallo-beta-lactamase IMP-76",246
2,"WP_116786838.1",60,"class C beta-lactamase PDC-300",397
3,"WP_116786837.1",60,"class C beta-lactamase PDC-300",397
4,"WP_116786836.1",4,"class D beta-lactamase OXA-667",276
5,"WP_116786834.1",60,"class C beta-lactamase PDC-300",397
6,"WP_116786832.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",293
7,"WP_116786831.1",914,"class A beta-lactamase TEM-219",286
8,"WP_116786830.1",391,"phosphoethanolamine--lipid A transferase MCR-1.8",540
9,"WP_116786829.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
10,"WP_116786828.1",273,"phosphoethanolamine--lipid A transferase MCR-4.1",541
11,"WP_114699284.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
12,"WP_114699283.1",2090,"subclass B1 metallo-beta-lactamase VIM-29",266
13,"WP_114699282.1",15,"subclass B1 metallo-beta-lactamase IMP-76",246
14,"WP_114699281.1",15,"subclass B1 metallo-beta-lactamase IMP-76",246
15,"WP_114699280.1",15,"subclass B1 metallo-beta-lactamase IMP-76",246
16,"WP_114699279.1",136,"OXA-61 family class D beta-lactamase OXA-596",239
17,"WP_114699278.1",4088,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-5.1",547
18,"WP_114699277.1",856,"MULTISPECIES: subclass B1 metallo-beta-lactamase VIM-6",266
19,"WP_114699276.1",136,"OXA-61 family class D beta-lactamase OXA-596",275
20,"WP_114699275.1",20,"phosphoethanolamine--lipid A transferase MCR-8.1",565
21,"WP_114699274.1",3097,"OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-280",274
22,"WP_114699273.1",3103,"class D beta-lactamase OXA-266",277
23,"WP_114699272.1",653,"class C beta-lactamase ADC-98",383
24,"WP_114699271.1",653,"class C beta-lactamase ADC-98",383
25,"WP_114699270.1",653,"class C beta-lactamase ADC-98",383
26,"WP_114699269.1",653,"class C beta-lactamase ADC-98",383
27,"WP_114699268.1",653,"class C beta-lactamase ADC-98",383
28,"WP_114699267.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",293
29,"WP_112792421.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
30,"WP_112017656.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
31,"WP_111976052.1",1672,"cephalosporin-hydrolyzing class C beta-lactamase ACT-7",381
32,"WP_111772163.1",856,"MULTISPECIES: subclass B1 metallo-beta-lactamase VIM-6",266
33,"WP_111690898.1",33,"23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(C)",379
34,"WP_111690897.1",3249,"23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(B)",349
35,"WP_111672914.1",2090,"subclass B1 metallo-beta-lactamase VIM-29",266
36,"WP_111672913.1",434,"subclass B1 metallo-beta-lactamase NDM-18",270
37,"WP_111672912.1",434,"subclass B1 metallo-beta-lactamase NDM-18",270
38,"WP_111672911.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",293
39,"WP_111672910.1",60,"class C beta-lactamase PDC-300",397
40,"WP_111672909.1",60,"class C beta-lactamase PDC-300",397
41,"WP_111672908.1",60,"class C beta-lactamase PDC-300",397
42,"WP_111672907.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
43,"WP_111672906.1",43,"class C beta-lactamase CMY-163",381
44,"WP_111672905.1",60,"class C beta-lactamase PDC-300",394
45,"WP_111672904.1",60,"class C beta-lactamase PDC-300",390
46,"WP_111672903.1",60,"class C beta-lactamase PDC-300",390
47,"WP_111672902.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
48,"WP_111672901.1",60,"class C beta-lactamase PDC-300",397
49,"WP_111672900.1",60,"class C beta-lactamase PDC-300",397
